title,artist,artistBio,gender,date,medium,artUrl,imageUrl
"New Mexico, New York, D, #13",Richard Tuttle,"American, born 1941",Male,1998,Synthetic polymer paint on plywood,http://www.moma.org/collection/works/80324,http://www.moma.org/media/W1siZiIsIjc0NTA0Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=b18dee98ffcb7787
Wired,Christina Ramberg,"American, 1946–1995",Female,1974-75,Synthetic polymer paint on masonite,http://www.moma.org/collection/works/82825,http://www.moma.org/media/W1siZiIsIjc0NTMxIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=dccb805f3f2a0acf
Maltese Cross,Al Held,"American, 1928–2005",Male,1964,Synthetic polymer paint on canvas,http://www.moma.org/collection/works/80637,http://www.moma.org/media/W1siZiIsIjc0NTQwIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=e7b4e8b360052ec1
Clockwork in the Sky,Alfred Jensen,"American, born Guatemala of Danish parents. 1903–1981",Male,1959,Oil on canvas,http://www.moma.org/collection/works/78864,http://www.moma.org/media/W1siZiIsIjc1MTUyIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=1bd2ff31472ecc42
Constanza,George McNeil,"American, 1908–1995",Male,1958,Oil on composition board,http://www.moma.org/collection/works/78467,http://www.moma.org/media/W1siZiIsIjc1MTUzIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=0199b8e8fe9b7033
Untitled,Francis Alÿs,"Belgian, born 1959",Male,1994,"Oil on canvas and synthetic polymer paint on sheet metal, three panels",http://www.moma.org/collection/works/78436,http://www.moma.org/media/W1siZiIsIjc1NjIxIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=5deb9b9c9c37dfb5
Gourds,Seiji Chokai,"Japanese, 1902–1972",Male,1950,Oil on canvas,http://www.moma.org/collection/works/78823,http://www.moma.org/media/W1siZiIsIjc2MjEwIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=91db4858f0ce1a13
Letting Go #8,Cleve Gray,"American, 1918–2004",Male,2002,Synthetic polymer paint and oilstick on canvas,http://www.moma.org/collection/works/89953,http://www.moma.org/media/W1siZiIsIjc2Njk2Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=cf5616ba63e81731
Night Sky #5,Vija Celmins,"American, born Latvia 1938",Female,1992,Oil on canvas mounted on wood panel,http://www.moma.org/collection/works/84177,http://www.moma.org/media/W1siZiIsIjc2NjkwIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=0e215a1bd91b90b8
The Wheel,Jack Tworkov,"American, born Poland. 1900–1982",Male,1953,Oil on canvas,http://www.moma.org/collection/works/78573,http://www.moma.org/media/W1siZiIsIjc2NzEyIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=1a60ea3ef79e8975
Untitled,Günther Förg,"German, 1952–2013",Male,1988,Bronze,http://www.moma.org/collection/works/79598,http://www.moma.org/media/W1siZiIsIjc3NTg4Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=1052f58692679b5e
